,make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
31934,64,419,14000,4,2017.0,9800,90.0,5,1,277,13,True,0
31935,49,606,19200,0,2019.0,4535,115.0,5,1,110,26,True,7
31936,44,227,88499,4,2018.0,39500,585.0,5,0,2592,14,True,29
31937,4,89,18800,0,2017.0,102061,150.0,5,1,881,24,True,39
31938,59,475,7890,0,2009.0,159990,140.0,5,1,881,30,True,39
31939,55,530,11800,4,2012.0,129990,115.0,5,1,881,34,True,45
31940,33,822,29800,6,2020.0,3000,141.0,5,0,2580,16,True,20
31941,50,435,9000,4,1990.0,20000,150.0,3,1,2592,5,False,29
31943,69,752,15190,0,2013.0,48731,110.0,5,1,887,27,True,33
31944,22,341,10770,0,2016.0,87000,120.0,5,1,2592,17,True,14
31945,4,600,35990,0,2017.0,75000,190.0,5,0,881,38,True,49
31946,62,645,9300,0,2011.0,112000,165.0,5,0,2592,22,False,16
31947,44,215,33900,0,2017.0,73631,170.0,4,0,2592,14,False,31
31948,22,349,5500,4,2009.0,99000,80.0,5,1,295,10,True,36
31949,59,757,1800,4,1999.0,134658,125.0,4,1,1577,13,False,7
31950,50,121,7000,0,2013.0,163000,110.0,4,1,295,10,True,2
31951,50,121,700,0,2004.0,272751,100.0,5,1,1613,21,True,29
31952,50,843,5499,0,2007.0,130000,120.0,5,1,3362,10,True,42
31953,50,843,2000,0,2007.0,217000,150.0,5,1,2592,0,False,29
31954,44,215,24500,0,2015.0,98170,170.0,4,0,1577,29,True,2
31955,22,341,10900,4,2015.0,56393,125.0,5,1,1577,12,True,29
31956,69,525,41900,0,2020.0,8000,150.0,4,0,2682,24,True,29
31957,49,749,3850,0,1997.0,245475,125.0,5,1,3062,16,False,12
31958,7,692,18990,4,2016.0,148000,184.0,5,0,2592,36,True,29
31959,21,61,8500,4,2016.0,80900,95.0,5,1,2592,10,True,32
31960,67,585,5500,5,2009.0,219000,136.0,5,0,2592,10,False,29
31961,22,335,3500,4,2007.0,98200,70.0,5,1,3421,7,False,29
31962,67,835,10400,4,2016.0,59862,69.0,5,1,1413,5,True,20
31963,22,517,1500,0,2004.0,256000,130.0,5,0,1577,5,False,49
31964,33,856,34999,1,2021.0,10,204.0,5,0,2122,53,True,46
31965,4,88,3000,0,2004.0,298000,140.0,3,1,3062,10,False,33
31966,4,92,13500,0,2012.0,199000,177.0,4,0,2444,34,True,29
31967,4,88,11990,0,2013.0,179500,150.0,3,1,881,33,True,39
31969,22,517,16950,0,2016.0,139000,150.0,5,0,1540,27,True,29
31970,40,828,15900,0,2017.0,83000,140.0,5,1,1577,11,False,4
31972,4,89,35500,4,2019.0,24995,150.0,5,0,2755,19,True,39
31973,60,713,11900,0,2018.0,30469,90.0,5,1,193,18,True,17
31975,44,220,10999,0,2008.0,229700,224.0,4,0,823,9,False,45
31976,44,216,19900,4,2007.0,206000,388.0,2,0,2592,20,True,45
31977,4,88,22900,0,2017.0,45810,116.0,5,0,2592,17,True,46
31978,43,502,28200,4,2020.0,150,181.0,5,0,3294,6,True,29
31979,55,239,10000,4,2018.0,19200,75.0,5,1,2592,0,False,7
31980,22,517,9900,0,2016.0,215000,150.0,5,0,2592,38,True,29
31981,54,487,45000,0,2016.0,118000,258.0,5,0,295,23,True,7
31982,33,202,1900,0,2003.0,180000,144.0,5,1,1577,10,False,7
31984,44,213,5990,0,2011.0,166000,82.0,5,1,2592,10,False,31
31985,26,740,16000,0,2017.0,105000,115.0,5,1,3483,7,True,7
31987,22,335,5300,0,2013.0,135000,75.0,5,1,3062,10,False,45
31988,44,215,21200,0,2015.0,73769,170.0,4,0,180,8,True,39
31989,33,718,10900,0,2012.0,170000,115.0,5,1,881,8,False,31
31990,4,85,11980,0,2018.0,37000,116.0,5,1,2592,23,True,25
31993,26,740,24490,5,2020.0,5,116.0,5,1,3139,35,True,51
31994,44,353,47958,4,2020.0,50,150.0,5,0,1982,11,True,6
31995,51,75,2500,0,2003.0,276000,109.0,5,1,1577,15,False,7
31996,44,223,19900,0,2009.0,200000,224.0,5,0,2592,18,True,39
31998,22,647,9600,0,2013.0,140000,140.0,5,0,881,8,False,5
31999,55,530,8995,0,2016.0,104352,110.0,5,1,1577,53,True,45
32000,69,677,13960,4,2013.0,107231,122.0,3,1,1041,17,True,39
32003,69,577,2499,4,2005.0,160000,75.0,5,1,2592,9,True,29
32004,44,215,32900,5,2019.0,28950,184.0,4,0,1269,22,True,29
