,make,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
43067,JAGUAR,18990,Diésel,2014.0,46000,200.0,4,Automático,Azul,41,True,Madrid
43068,SSANGYONG,18400,Diésel,2016.0,19533,178.0,5,Manual,Azul (*MAT*),34,True,Barcelona
43069,KIA,16900,Gasolina,2019.0,11639,100.0,5,Manual,Negro,9,True,Valencia
43070,RENAULT,3500,Gasolina,2005.0,188639,135.0,5,Automático,Azul,18,True,Alicante
43072,MERCEDES-BENZ,27300,Diésel,2017.0,85449,170.0,4,Automático,992 Gris selenita (metalizado),31,True,Madrid
43073,JEEP,25900,Gasolina,2012.0,71703,352.0,5,Automático,PDM Gris Mineral (metalizado),44,True,Madrid
43074,FORD,22900,Híbrido,2020.0,10000,155.0,5,Manual,Blanco,11,True,Teruel
43075,MAZDA,6900,Gasolina,2003.0,103500,110.0,2,Manual,Negro,17,False,Málaga
43076,RENAULT,7900,Diésel,2015.0,119721,75.0,5,Manual,Blanco,8,True,Ciudad Real
43077,DACIA,6500,Diésel,2014.0,120000,75.0,4,Manual,Blanco,6,True,Asturias
43078,PEUGEOT,13490,Diésel,2018.0,38164,120.0,5,Manual,M0VL Gris Platinum (metalizado),17,True,Madrid
43079,RENAULT,6000,Diésel,2014.0,196000,75.0,4,Manual,Blanco,7,True,Asturias
43080,VOLKSWAGEN,13990,Diésel,2012.0,167247,140.0,5,Automático,Gris / Plata,34,True,Barcelona
43081,AUDI,21000,Gasolina,2019.0,8952,116.0,5,Manual,Blanco (BLANCO GLACIAR METALIZADO),12,True,Murcia
43082,AUDI,4990,Diésel,2006.0,172770,140.0,3,Automático,Granate,24,True,Madrid
43084,AUDI,25300,Diésel,2016.0,85874,150.0,4,Automático,Blanco,17,True,Madrid
43086,MERCEDES-BENZ,49990,Gasolina,2016.0,68000,367.0,5,Automático,Blanco,23,True,Álava
43088,MERCEDES-BENZ,26995,Diésel,2019.0,23819,116.0,5,Automático,Rojo (Rojo Júpiter),19,True,Asturias
43089,BMW,15000,Gasolina,2008.0,100400,170.0,2,Manual,Azul,4,False,Murcia
43090,MERCEDES-BENZ,5000,Gasolina,2007.0,167000,116.0,5,Automático,Gris / Plata,10,False,Albacete
43092,MERCEDES-BENZ,19000,Diésel,2016.0,174500,177.0,5,Automático,Negro,9,False,Málaga
43093,FIAT,9800,Gasolina,2018.0,11000,69.0,3,Manual,Rojo,7,False,Jaén
43094,FORD,18999,Híbrido,2018.0,49000,190.0,4,Automático,Blanco,24,True,Madrid
43095,HYUNDAI,18900,Gasolina,2020.0,10,120.0,5,Manual,Rojo,1,True,Orense
43097,NISSAN,11900,Gasolina,2019.0,30716,100.0,5,Manual,Gunmetal Grey (metalizado),17,True,Málaga
43098,HONDA,17900,Diésel,2017.0,87397,120.0,5,Manual,Blanco (NH-788 Blanco Orchid Perlado),39,True,Valencia
43099,BMW,15000,Diésel,2015.0,70000,116.0,5,Manual,Azul,11,False,Granada
43100,MERCEDES-BENZ,38500,Diésel,2017.0,70000,194.0,4,Automático,Gris / Plata (Gris Selenita),25,True,Barcelona
43101,FIAT,10250,Gasolina,2018.0,42000,69.0,3,Manual,Rojo,14,True,Barcelona
43102,VOLKSWAGEN,7500,Diésel,2009.0,190000,170.0,5,Automático,Gris / Plata,10,False,Valencia
43103,AUDI,19000,Diésel,2017.0,60000,116.0,5,Automático,Rojo,8,False,Guadalajara
43106,BMW,23975,Eléctrico,2018.0,9886,170.0,5,Automático,Blanco,44,True,Madrid
43107,HYUNDAI,9000,Gasolina,2015.0,31000,100.0,5,Manual,Gris / Plata,10,False,Barcelona
43108,BENTLEY,78500,Gasolina,2007.0,32800,560.0,2,Automático,Negro,30,True,Málaga
43109,PEUGEOT,8900,Gasolina,2018.0,18500,82.0,5,Manual,Naranja,9,True,Las Palmas
43110,MAZDA,6500,Gasolina,2007.0,145000,260.0,5,Manual,Violeta / Lila,8,False,Vizcaya
43111,RENAULT,21500,Diésel,2020.0,20,150.0,5,Manual,Gris / Plata (incluye pack seguro+3años ext garantia+1revisio),16,True,Barcelona
43112,NISSAN,11900,Gasolina,2016.0,51021,115.0,5,Manual,Azul,35,True,Valladolid
43113,MERCEDES-BENZ,20999,Diésel,2016.0,85029,170.0,5,Manual,Azul,13,True,Lugo
43114,MAZDA,22500,Gasolina,2020.0,1500,122.0,5,Manual,Negro,15,True,Álava
43115,HONDA,7990,Diésel,2009.0,159000,140.0,5,Manual,Negro,27,True,Madrid
43116,BMW,16850,Gasolina,2018.0,91000,136.0,5,Manual,Negro (met Pintura metalizada),27,True,Barcelona
43118,NISSAN,15490,Diésel,2016.0,131000,130.0,5,Manual,Gris / Plata,28,True,Murcia
43119,SEAT,2000,Diésel,2004.0,190000,100.0,5,Manual,Verde,3,False,Valencia
43120,KIA,14900,Gasolina,2018.0,43000,132.0,5,Manual,Blanco,9,True,Lleida
43121,OPEL,15400,Diésel,2016.0,37167,136.0,3,Manual,Negro Mica (metalizado),7,True,Guipúzcoa
43122,ALFA ROMEO,8000,Diésel,2006.0,140000,200.0,3,Manual,Negro,11,False,Almería
43123,KIA,16500,Gasolina,2020.0,1,100.0,5,Manual,Clear White (sólido),21,True,Madrid
43124,AUDI,42485,Diésel,2016.0,79000,272.0,5,Automático,Gris / Plata,36,True,Barcelona
43125,PORSCHE,29000,Diésel,2013.0,196000,245.0,5,Automático,Beige,10,False,Cantabria
43126,MITSUBISHI,9500,Diésel,1995.0,250000,99.0,3,Manual,Verde,11,True,Asturias
43128,FIAT,11500,Diésel,2018.0,39549,95.0,5,Manual,Marrón,9,True,Barcelona
43129,MERCEDES-BENZ,2900,Diésel,2005.0,172000,122.0,5,Manual,Gris / Plata,9,True,Sevilla
43132,LAND-ROVER,15900,Diésel,1997.0,107000,112.0,3,Manual,Blanco,15,False,Cáceres
43133,BMW,24991,Gasolina,2010.0,150000,306.0,2,Automático,Gris / Plata,10,False,Ciudad Real
43134,PEUGEOT,15495,Diésel,2018.0,39899,100.0,5,Manual,Gris / Plata,54,True,Alicante
43135,FORD,7900,Gasolina,2017.0,73700,82.0,5,Manual,Gris / Plata (PLOMO),9,True,Málaga
43136,FORD,13400,Diésel,2013.0,99000,140.0,5,Manual,Blanco,16,True,Barcelona
43137,BENTLEY,104575,Gasolina,2015.0,40000,575.0,2,Automático,Rojo,18,True,Madrid
43139,AUDI,12500,Diésel,2010.0,180000,190.0,5,Automático,Blanco,20,False,Lleida
43142,VOLVO,20500,Diésel,2014.0,78100,136.0,5,Automático,Blanco,25,True,Valencia
43143,HYUNDAI,20900,Gasolina,2020.0,10200,177.0,5,Manual,Blanco,16,True,Tarragona
43144,VOLKSWAGEN,14990,Diésel,2017.0,149678,115.0,5,Automático,Blanco,36,True,Sevilla
43145,VOLKSWAGEN,17950,Diésel,2020.0,50,75.0,4,Manual,Rojo (9306 Rojo Coca-Cola/2000),19,True,Zaragoza
43146,VOLKSWAGEN,3450,Gasolina,2006.0,124000,115.0,3,Manual,Rojo,6,True,Málaga
43147,FORD,9950,Diésel,2016.0,97000,95.0,5,Manual,Negro,13,True,Sevilla
43148,LAND-ROVER,49500,Diésel,2019.0,127040,258.0,5,Manual,Blanco (FUJI WHITE),9,True,Málaga
43149,FORD,6175,Gasolina,2014.0,101848,82.0,5,Manual,Negro,15,True,Valencia
43150,BMW,16900,Diésel,2013.0,98100,184.0,4,Automático,Blanco,22,False,Zaragoza
43151,VOLKSWAGEN,20099,Diésel,2018.0,80492,150.0,4,Automático,Blanco (0Q0Q Blanco Puro),10,True,Sevilla
43152,FORD,6000,Diésel,2012.0,382637,100.0,4,Manual,Blanco,2,False,Barcelona
43153,RENAULT,10950,Diésel,2016.0,89092,90.0,5,Manual,Gris / Plata,26,True,Girona
43155,FIAT,13800,Diésel,2015.0,96200,115.0,4,Manual,Blanco,20,True,Valencia
43156,RENAULT,2500,Diésel,2007.0,185000,85.0,5,Manual,Rojo,7,False,Alicante
43157,FIAT,15900,Diésel,2019.0,18936,120.0,5,Automático,Blanco,27,True,Granada
43158,BMW,29900,Diésel,2012.0,149000,381.0,4,Automático,Negro (Carbon schwartz ),53,True,Valencia
43160,CITROEN,11400,Gasolina,2020.0,1,72.0,5,Manual,Blanco,18,True,Ciudad Real
43161,TOYOTA,26500,Gasolina,2020.0,3600,218.0,4,Automático,Azul,23,True,Orense
43163,SKODA,25950,Diésel,2019.0,31728,150.0,5,Automático,Rojo (*BAR*),37,True,Barcelona
